GNF-Pf identifier,JC_XSMILES,Qualifier,PF proliferation inhibition 3D7 EC50 uM
GNF-Pf-1933,CCN1C(\C=CC2=CC(OC)=CC=C12)=C\C3=[N+](CC)C4=CC=CC=C4[Se]3,,0.1712
GNF-Pf-2099,CC[N+]1=C(SC2=CC=CC=C12)\C=C\N(C)C,,0.443
GNF-Pf-2312,C[N+]1=C(\C=C\C2=CC=C(Cl)C(Cl)=C2)C=CC3=CC=CC=C13,,0.2947
GNF-Pf-2331,CN(C)[P+](C)(N(C)C)N(C)C,,0.442
GNF-Pf-238,C(SC1=C(N=CS1)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5,,0.335
GNF-Pf-2480,CCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3,,0.0693
GNF-Pf-2582,CC1=[N+](C)C2=C(N1C3=CC=CC=C3)C(=O)C4=CC=CC=C4C2=O,,0.00655
GNF-Pf-2669,C[N+](C)(C)CC(=C)C1=CC=C(C=C1)[N+]([O-])=O,,0.317
GNF-Pf-2969,C[N+]1=CC=CC(CNC2=C(Cl)C(=O)C3=CC=CC=C3C2=O)=C1,,0.1268
GNF-Pf-3031,CC[N+]1=C(\C=C\C2=CC(Br)=CC=C2OC)C=CC3=CC=CC=C13,,0.1547
GNF-Pf-3436,CC[N+]1=C(\C=C\C2=CC=C(F)C=C2)C=CC3=CC=CC=C13,,0.1222
GNF-Pf-366,CSC1=NC(=NC2=C(C)C=CC=C2C)C3(CCC(CC3)C(C)(C)C)N1C4=CC=C(Cl)C=C4,,1.477
GNF-Pf-3670,CN1C=CC=CC1=CC=C2C=NC3=CC=CC=C23,,0.2364
GNF-Pf-3766,CC[N+]1=C(\C=C\C2=CC=C(SC)C=C2)C=CC3=CC=CC=C13,,0.0436
GNF-Pf-4184,CC1=CC=C(CCN2C(C)=C(C3=CC=CC=C3)C4=CC=CC=C24)C=[N+]1C,,0.647
GNF-Pf-4338,CCCCC1=C(CCC)C(=N)C2=CC=CC=C2N1C,,0.3113
GNF-Pf-440,C[N+](C)(C)C1=CC=C2C=C(Br)C3=CC=CC=C3C2=C1,,0.759
